Topic,Metric,Words
1,prob,"clean_energy, energy_transition, carbon_low, aim_project, build_capacity, natural_resource, civil_society, economic_growth, assistance_technical, development_infrastructure, good_practice, development_sustainable, energy_green, climate_energy, activity_support"
1,frex,"country_recipient, accelerate_transition, development_group, climate_genderjust, partnership_regulatory, around_world, group_pidg, level_local, agreement_cooperative, carbon_low, include_issue, energy_transition, expert_technical, government_national, environmental_sustainability"
1,lift,"activity_sdgsproject, align_canada, align_population, around_technical, assistance_initiative, awareness_canadian, awareness_international, canada_feminist, canada_nrcan, canada_project, canada_resource, canada_sdgs, canadathe_project, canadathe_visit, canadian_raise"
1,score,"energy_transition, clean_energy, carbon_low, natural_resource, climate_genderjust, country_recipient, civil_society, assistance_international, marginalize_vulnerable, energy_regulatory, coal_transition, partnership_regulatory, activity_sdgsproject, align_canada, align_population"
2,prob,"energy_source, efficiency_increase, gas_natural, investment_promote, development_investment, fuel_import, energy_service, efficiency_reliability, promote_service, energy_indigenous, development_transport, import_source, process_transport, energy_transparency, indigenous_utilization"
2,frex,"energy_indigenous, development_transport, import_source, process_transport, energy_transparency, indigenous_utilization, process_utilization, reliability_transparency, development_investment, distribution_gas, programme_renewable, energy_exchange, inch_kilometer, electric_interconnection, promote_service"
2,lift,"compressor_one, compressor_throughput, distribution_pipeline, electric_market, mmcfd_throughput, production_transmission, provide_uk, bangladesh_capacity, city_help, development_transport, electric_interconnection, energy_indigenous, energy_transparency, gas_titas, guarantee_project"
2,score,"process_utilization, reliability_transparency, indigenous_utilization, import_source, process_transport, energy_transparency, development_transport, energy_indigenous, promote_service, development_investment, efficiency_increase, fuel_import, investment_promote, efficiency_reliability, gas_natural"
3,prob,"energy_renewable, efficiency_energy, energy_resource, gas_greenhouse, energy_project, emission_gas, efficient_energy, bureau_energy, department_state, bureau_state, energy_investment, energy_improve, efficiency_renewable, emission_ghg, energy_source"
3,frex,"contractual_service, contractual_miscellaneous, classify_service, cover_miscellaneous, iaa_resource, efficient_energy, greenhouse_reduce, energy_finance, energy_investment, cover_resource, emission_ghg, credit_line, gas_greenhouse, comfortable_thermally, enr_resource"
3,lift,"achievement_previous, cause_energy, classify_service, cover_miscellaneous, develop_ecotechnologies, ecotechnologies_settlement, energy_type, forest_settlement, fund_iaa, iaa_resource, pull_stock, account_energy, additional_marginal, base_construct, beep_phase"
3,score,"bureau_state, department_state, bureau_energy, energy_renewable, contractual_service, energy_resource, gas_greenhouse, contractual_miscellaneous, classify_service, efficiency_energy, emission_gas, cover_miscellaneous, enr_resource, enr_infrastructure, efficiency_renewable"
4,prob,"assess_monitor, development_include, finance_mobilize, commercial_finance, individual_project, monitor_project, include_mobilize, performance_program, individual_performance, performance_risk, framework_monitor, additional_commercial, framework_measurement, measurement_performance, development_finance"
4,frex,"assess_monitor, individual_project, performance_program, individual_performance, performance_risk, framework_monitor, additional_commercial, framework_measurement, measurement_performance, program_progress, portfolio_progress, iaip_program, assess_risk, blend_project, finance_outcome"
4,lift,"area_change, cook_fund, crosscutting_program, achieve_developmentobjective, aid_innovation, assess_global, assess_international, assess_monitor, assess_risk, assistance_innovation, blend_project, canada_innovative, compare_portfolio, compare_program, development_obtain"
4,score,"assess_monitor, individual_performance, performance_risk, additional_commercial, framework_measurement, measurement_performance, performance_program, include_mobilize, portfolio_progress, iaip_program, finance_outcome, iaip_portfolio, framework_monitor, individual_project, monitor_project"
5,prob,"line_transmission, power_transmission, electricity_supply, distribution_transmission, distribution_system, hydropower_plant, power_system, distribution_network, system_transmission, kv_transmission, power_supply, grid_power, km_kv, electricity_transmission, kv_substation"
5,frex,"kv_transmission, electricity_transmission, kv_new, project_transmission, km_kv, distribution_line, kv_substation, kv_line, grid_transmission, construction_kv, high_voltage, hydroelectric_project, center_control, power_transmission, new_substation"
5,lift,"augmentation_extension, construction_substation, dc_kv, finance_request, km_substation, kv_power, national_transmission, project_transmission, acquisition_datum, center_control, circuit_double, construction_kv, dispatch_load, distribution_line, electricity_transmission"
5,score,"line_transmission, power_transmission, kv_transmission, kv_substation, km_kv, distribution_system, kv_line, distribution_transmission, system_transmission, hydropower_plant, distribution_network, electricity_supply, kv_new, electricity_transmission, power_system"
6,prob,"access_energy, energy_solar, energy_service, energy_supply, area_rural, energy_renewable, energy_sustainable, access_electricity, access_increase, clean_energy, energy_sector, access_improve, affordable_reliable, energy_modern, access_clean"
6,frex,"home_system, access_modern, panel_solar, energy_reliable, solar_system, solar_use, energy_modern, access_energy, periurban_rural, population_rural, home_solar, community_rural, cost_energy, energy_rural, access_universal"
6,lift,"access_modern, achieve_national, approach_base, electrification_national, energy_sdg, fund_grid, reliable_renewable, support_swedish, bgfa_manage, challenge_longerterm, diversification_generation, efficiency_partnership, environment_protection, evidence_research, function_sustainable"
6,score,"access_energy, energy_service, energy_solar, access_electricity, area_rural, access_increase, energy_supply, energy_modern, energy_sustainable, affordable_reliable, community_rural, home_system, access_sustainable, home_solar, access_clean"
7,prob,"assistance_technical, build_capacity, assistance_ta, bank_development, asian_development, adb_bank, support_technical, country_member, preparation_project, project_support, capacity_development, energy_renewable, support_ta, knowledge_support, generation_power"
7,frex,"knowledge_support, facility_ta, develop_member, technical_transaction, support_ta, country_dmcs, country_operation, facility_support, preparatory_project, ensue_project, adb_venture, diligence_due, center_provincial, country_member, provincial_supply"
7,lift,"adb_venture, center_provincial, facility_ta, propose_transaction, subproject_ta, ta_use, adb_implement, asia_west, center_replacement, cluster_ta, country_dmcs, country_operation, diesel_highcost, dmcs_ta, evaluation_study"
7,score,"assistance_technical, assistance_ta, adb_bank, asian_development, country_member, facility_ta, support_ta, knowledge_support, bank_development, build_capacity, diligence_due, technical_transaction, develop_member, preparation_project, facility_support"
8,prob,"electrification_rural, activity_include, nuclear_regulatory, include_train, agency_regulatory, collaboration_technical, international_nuclear, activity_engagement, execute_prepare, laboratory_national, nuclear_safeguard, fund_national, award_fund, agency_relate, agency_nuclear"
8,frex,"nuclear_regulatory, agency_regulatory, collaboration_technical, international_nuclear, execute_prepare, laboratory_national, nuclear_safeguard, award_fund, agency_nuclear, organization_relate, agency_operator, consultation_technical, consultation_train, engagement_safeguard, nuclear_operator"
8,lift,"equity_psi, est_projet, activity_enable, agency_nuclear, agency_regulatory, award_fund, centrale_dune, denergie_production, deuros_million, ethnic_minority, execute_prepare, international_nuclear, laboratory_national, lectrique_rseau, nergies_renouvelables"
8,score,"award_fund, collaboration_foreign, foreign_nuclear, laboratory_prepare, execute_international, nuclear_operator, international_nuclear, agency_nuclear, execute_prepare, consultation_train, engagement_safeguard, collaboration_technical, consultation_technical, organization_relate, nuclear_safeguard"
9,prob,"power_sector, afdb_sector, afdb_subsector, afdb_power, electricity_subsector, power_subsector, energy_production, renewable_source, loan_project, hydropower_station, production_renewable, energy_source, distribution_production, hydropower_small, energy_solar"
9,frex,"afdb_sector, afdb_subsector, afdb_power, electricity_subsector, production_renewable, cluster_develop, power_subsector, efficiency_general, solar_subsector, council_regional, province_punjab, nonpolluting_renewable, meet_pakistan, delivery_indefinite, specially_system"
9,lift,"source_subsector, aggregate_confidential, area_scope, construct_hydropower, council_regional, first_scope, first_set, indigenous_nonpolluting, meet_pakistan, multiple_source, rural_specially, afdb_power, afdb_sector, afdb_subsector, electricity_subsector"
9,score,"afdb_sector, afdb_subsector, afdb_power, electricity_subsector, power_sector, power_subsector, energy_production, cluster_develop, renewable_source, solar_subsector, hydropower_station, efficiency_general, production_renewable, loan_project, area_scope"
10,prob,"feasibility_study, information_redact, pilot_project, energy_storage, climate_programme, feasibility_fund, grid_smart, state_unite, africa_south, climate_description, good_service, long_term, energy_resource, africa_west, development_support"
10,frex,"information_redact, accountability_act, aid_foreign, aid_transparency, implement_security, health_security, accordance_redact, accordance_two, act_fataa, exception_principled, interest_national, interest_unite, principled_two, define_exception, define_foreign"
10,lift,"accountability_act, agreement_contract, aid_foreign, aid_transparency, business_can, grant_partially, grant_study, grant_ustda, information_resource, study_would, subcontractor_venture, accordance_redact, accordance_two, accredit_government, act_fataa"
10,score,"feasibility_study, information_redact, feasibility_fund, climate_programme, accountability_act, aid_foreign, aid_transparency, accordance_redact, accordance_two, act_fataa, exception_principled, interest_national, interest_unite, principled_two, define_exception"
11,prob,"plant_power, power_solar, power_station, power_project, generation_power, aim_project, power_thermal, district_heat, power_wind, hydroelectric_power, hydro_power, pv_solar, combine_cycle, mw_solar, photovoltaic_solar"
11,frex,"plant_project, power_thermal, cycle_power, construction_operation, gas_utility, mw_solar, coalfired_power, farm_wind, heat_system, heat_waste, hydro_power, construction_mw, mw_operation, mw_wind, gas_turbine"
11,lift,"activity_principal, aim_pidg, alleviate_job, boost_poor, construct_mw, gas_utility, heat_source, heat_waste, igcc_power, job_trade, mw_operation, operator_policy, poor_provision, poverty_world, central_heat"
11,score,"plant_power, power_station, power_solar, power_thermal, power_project, district_heat, hydroelectric_power, combine_cycle, power_wind, mw_solar, hydro_power, generation_power, gas_utility, capacity_mw, construction_operation"
12,prob,"climate_finance, asia_southeast, finance_solution, change_climate, blend_finance, assistance_technical, country_develop, adaptation_mitigation, fund_grant, develop_solution, applicant_select, climate_project, contribute_development, asian_southeast, girl_woman"
12,frex,"finance_solution, develop_solution, applicant_select, governmenttogovernment_partnership, capital_mobilization, africa_latin, initiative_policy, minister_prime, accelerate_assistance, capital_develop, actor_contribute, leader_summit, america_south, create_synergy, applicant_develop"
12,lift,"decisionmaking_improve, governmenttogovernment_partnership, learn_network, strong_underpin, alliance_build, america_south, applicant_select, asian_government, create_synergy, minister_prime, accelerate_assistance, accelerate_mobilization, accelerate_traction, activity_goalsproject, actor_contribute"
12,score,"applicant_select, finance_solution, asia_southeast, climate_finance, develop_solution, blend_finance, accelerate_mobilization, accelerate_traction, activity_goalsproject, actor_create, adaptation_main, address_contribute, agriculture_naturebased, announce_facility, announce_prime"
13,prob,"africa_power, bank_world, fund_trust, million_usd, africa_east, support_technical, material_nuclear, service_support, project_support, canada_international, development_international, africa_subsaharan, include_service, across_globe, field_support"
13,frex,"across_globe, across_facility, civilian_facility, civilian_material, confirm_disposition, confirm_remove, disposition_excess, excess_weaponsuseable, nuclear_weaponsuseable, administrative_service, locally_manage, locally_provide, need_strategy, delivery_plan, canada_monitor"
13,lift,"across_facility, additional_private, administrative_logistical, civilian_facility, civilian_material, confirm_disposition, confirm_remove, disposition_excess, excess_weaponsuseable, nuclear_weaponsuseable, achieve_africa, advice_expert, advice_socioeconomic, aim_saric, analyze_development"
13,score,"africa_power, across_facility, civilian_facility, confirm_disposition, confirm_remove, disposition_excess, excess_weaponsuseable, nuclear_weaponsuseable, civilian_material, material_nuclear, canada_monitor, delivery_monitor, policy_socioeconomic, across_globe, locally_manage"
14,prob,"private_sector, change_climate, action_climate, america_latin, adaptation_mitigation, concessional_finance, equality_gender, america_caribbean, adaptation_project, aim_project, investment_sector, climate_fund, change_mitigation, project_support, climate_investment"
14,frex,"concessional_finance, adaptation_project, impact_partnership, aim_catalyze, fund_private, canadian_climate, fund_may, development_interamerican, group_idb, genderresponsive_promote, bank_idb, idb_invest, latin_project, corporation_investment, economy_resilient"
14,lift,"adaptation_good, america_fund, canadian_climate, cofinances_fund, compatible_environmentally, across_adaptation, across_latin, action_hipca, adaptation_project, advance_aim, agriculture_efficiency, america_sector, announce_contribution, caribbean_need, catalyze_great"
14,score,"impact_partnership, concessional_finance, canadian_climate, adaptation_project, america_caribbean, across_latin, interamerican_investment, interamerican_manage, america_sector, genderresponsive_promote, agriculture_efficiency, caribbean_need, cofinances_idb, concessional_need, corporation_idb"
15,prob,"assistance_technical, deployment_expert, initiative_ta, activity_include, private_sector, policy_research, aim_improve, project_work, civil_sector, civil_society, country_develop, area_country, advisory_support, study_tour, include_provide"
15,frex,"deployment_expert, initiative_ta, academia_private, academia_society, deployment_mechanism, enhance_order, energy_science, order_policy, develop_official, governmental_official, competency_comprehensive, competency_nurture, comprehensive_enhance, educate_governmental, nurture_startup"
15,lift,"academia_private, academia_society, accompanimentmentoring_advisory, accompanimentmentoring_professional, activity_canadaproject, aim_canadian, andor_location, andor_person, andor_study, andor_visit, audit_capacity, audit_institutional, canada_organize, canada_tour, canadaproject_government"
15,score,"deployment_expert, initiative_ta, accompanimentmentoring_advisory, accompanimentmentoring_professional, activity_canadaproject, aim_canadian, andor_location, andor_person, andor_study, andor_visit, audit_institutional, canada_organize, canada_tour, canadaproject_government, canadian_society"
16,prob,"efficiency_energy, change_climate, energy_technology, aim_project, objective_overall, collaborative_project, development_sustainable, build_public, energy_management, energy_use, cooperation_technical, management_waste, chain_value, woman_young, aim_improve"
16,frex,"nuclear_safety, objective_technical, build_public, circular_economy, african_union, radioactive_waste, community_sustainable, pv_system, area_protect, activity_develop, cooperation_tc, execution_expert, government_local, energy_technology, energy_implementation"
16,lift,"area_senegal, assessment_sustainability, become_climate, economic_employment, economy_promote, potential_select, allocation_star, cc_star, climate_population, coastal_community, cofinancing_preparation, economy_model, efficiency_public, execution_expert, expert_seminar"
16,score,"energy_technology, efficiency_energy, change_climate, collaborative_project, woman_young, nuclear_safety, build_public, infrastructure_quality, objective_overall, cooperation_technical, client_collaborative, circular_economy, change_context, management_waste, pv_system"
17,prob,"energy_sector, private_sector, product_type, development_project, project_support, development_energy, government_support, development_support, description_product, electricity_sector, supply_water, energy_security, clean_energy, program_support, objective_specific"
17,frex,"product_type, description_product, base_loan, business_technology, base_libor, libor_type, mission_trade, reverse_trade, capacity_renewable, electricity_sector, policy_reform, objective_program, energy_matrix, adf_type, supply_water"
17,lift,"kpk_punjab, adf_new, dependency_import, fsm_micronesia, include_strategy, scale_test, stage_test, product_type, accelerate_model, achieve_diesel, adf_type, dependency_reduce, description_product, diesel_import, early_support"
17,score,"product_type, description_product, development_project, energy_sector, electricity_sector, supply_water, development_support, government_support, base_libor, private_sector, libor_type, institutional_strengthen, base_loan, objective_specific, energy_security"
18,prob,"power_sector, power_supply, efficiency_energy, reform_sector, efficiency_improvement, investment_program, development_sector, development_program, demand_electricity, economic_growth, energy_renewable, improve_reliability, improve_quality, efficiency_reliability, energy_improve"
18,frex,"madhya_pradesh, andhra_pradesh, component_energy, loan_policy, commercial_loss, component_transmission, strengthen_system, country_province, expansion_generation, activity_reform, province_uva, rooftop_solar, entity_sector, modernization_part, light_street"
18,lift,"country_gradually, country_province, dhaka_surround, entire_exercise, exercise_sustainable, governance_investment, government_relieve, gradually_relieve, link_ongoing, province_uva, activity_financial, aim_loan, approve_policy, approve_program, component_light"
18,score,"power_sector, power_supply, efficiency_improvement, reform_sector, investment_program, efficiency_energy, madhya_pradesh, efficiency_reliability, improve_reliability, component_transmission, demand_electricity, province_uva, development_sector, development_program, network_transmission"
19,prob,"energy_renewable, efficiency_energy, energy_sustainable, energy_system, aim_project, renewable_use, country_partner, change_climate, cooperation_development, energy_program, energy_increase, efficiency_project, mediumsized_small, condition_framework, energy_infrastructure"
19,frex,"challenge_fund, framework_loan, condition_framework, adjustment_credit, promotion_renewable, cooperation_development, resource_time, community_target, country_partner, energy_partnership, field_renewable, promote_renewable, company_identify, enterprise_mediumsized, efficiency_programme"
19,lift,"access_company, area_renewable, challenge_enterprise, non_profit, adaptation_energy, adjustment_credit, advocacy_national, challenge_fund, company_identify, company_mediumsized, consist_contribution, consist_support, decentralise_development, guatemala_salvador, public_state"
19,score,"energy_renewable, efficiency_energy, energy_sustainable, energy_system, renewable_use, challenge_fund, react_support, cooperation_development, organization_womens, country_partner, condition_framework, promotion_renewable, cooperation_sweden, administer_africa, advocacy_learn"
20,prob,"activity_aggregate, aggregate_tc, country_develop, build_capacity, energy_geothermal, education_research, build_field, education_field, infrastructure_sustainable, development_geothermal, knowledge_transfer, action_climate, develop_energy, hydroelectric_powerdams, carbon_price"
20,frex,"activity_aggregate, aggregate_tc, education_research, build_field, education_field, hydroelectric_powerdams, increase_likelihood, increase_portfolio, attract_likelihood, cigi_joint, early_elaborate, maryland_university, develop_initiative, development_geothermal, participation_support"
20,lift,"achieve_investor, achieve_workshop, action_summit, action_summitseptember, add_incountry, add_phase, advance_meet, advance_un, build_hold, build_matchmaking, climate_domain, climate_secretarygenerals, consultation_investor, convene_use, country_emphasize"
20,score,"aggregate_tc, activity_aggregate, education_research, education_field, build_field, country_develop, hydroelectric_powerdams, energy_geothermal, attract_likelihood, cigi_joint, early_elaborate, maryland_university, achieve_investor, achieve_workshop, action_summit"
